time_shelter,animal_id,animal_type,breed,color,name,outcome_type,sex_upon_outcome,sex,Spay/Neuter,Periods,Cat/Kitten (outcome),dob_year,dob_month,outcome_month,domestic_breed,coat_pattern
9 months,A670309,Cat,domestic shorthair,blue/white,*More,Adoption,Neutered Male,Male,Yes,9,Cat,2013,4,1,True,
2 months,A689097,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,7,10,True,tortie
5 years,A672328,Cat,domestic shorthair,blue,Bucket,Return to Owner,Neutered Male,Male,Yes,5,Cat,2009,2,2,True,tabby
3 weeks,A686744,Cat,domestic shorthair,brown /white,,Transfer,Intact Male,Male,No,3,Kitten,2014,8,8,True,tabby
1 year,A687363,Cat,domestic shorthair,white/blue,,Transfer,Intact Male,Male,No,1,Cat,2013,9,9,True,tabby
3 months,A681261,Cat,domestic shorthair,black/white,,Transfer,Intact Female,Female,No,3,Kitten,2014,3,6,True,
2 weeks,A678144,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,2,Kitten,2014,4,5,True,
2 months,A679274,Cat,domestic shorthair,brown,*Fudge,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,6,True,tabby
6 months,A666129,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,6,Cat,2013,4,10,True,
9 months,A683944,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,9,Cat,2013,10,7,True,tabby
10 months,A674058,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,10,Cat,2013,5,3,True,
1 year,A669246,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,1,Cat,2012,12,12,True,
12 years,A666993,Cat,domestic shorthair,black/white,Dizzy,Return to Owner,Neutered Male,Male,Yes,12,Cat,2001,11,11,True,
2 months,A685213,Cat,siamese,lilac,,Transfer,Neutered Male,Male,Yes,2,Kitten,2014,5,8,False,point
2 years,A681984,Cat,siamese,,Jelly,Transfer,Intact Female,Female,No,2,Cat,2012,6,6,False,calico
4 months,A677787,Cat,domestic shorthair,brown,Ricky,Adoption,Neutered Male,Male,Yes,4,Kitten,2013,12,5,True,tabby
2 months,A684104,Cat,domestic shorthair,black/white,,Adoption,Intact Male,Male,No,2,Kitten,2014,5,7,True,
5 months,A656894,Cat,domestic shorthair,black,Jake,Adoption,Neutered Male,Male,Yes,5,Kitten,2013,4,10,True,
6 months,A658940,Cat,domestic mediumhair,black,*Hollywood,Adoption,Neutered Male,Male,Yes,6,Cat,2013,4,10,True,
2 months,A662923,Cat,domestic mediumhair,brown,*Monty,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,7,10,True,tabby
3 months,A664289,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,3,Kitten,2013,7,10,True,tabby
2 weeks,A689040,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,2,Kitten,2014,9,9,True,tabby
13 years,A671013,Cat,domestic mediumhair,brown /white,Godiva,Adoption,Spayed Female,Female,Yes,13,Cat,2001,1,1,True,tabby
2 months,A684235,Cat,domestic longhair,brown /white,,Transfer,Intact Male,Male,No,2,Kitten,2014,4,7,True,tabby
3 months,A675340,Cat,domestic shorthair,cream /white,*Josie,Transfer,Spayed Female,Female,Yes,3,Kitten,2013,12,3,True,tabby
8 years,A683587,Cat,japanese bobtail,white/blue,Nubbins,Euthanasia,Neutered Male,Male,Yes,8,Cat,2006,7,7,False,
2 months,A676275,Cat,domestic shorthair,blue,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,6,True,
12 years,A287217,Cat,domestic shorthair,black,Spider,Return to Owner,Spayed Female,Female,Yes,12,Cat,2002,5,10,True,
13 years,A671013,Cat,domestic mediumhair,brown /white,Godiva,Adoption,Spayed Female,Female,Yes,13,Cat,2001,1,7,True,tabby
6 months,A667526,Cat,domestic shorthair,black,Alley,Adoption,Spayed Female,Female,Yes,6,Cat,2013,5,12,True,
5 years,A552606,Cat,domestic shorthair,silver,Tess,Transfer,Spayed Female,Female,Yes,5,Cat,2009,4,10,True,tabby
1 year,A678694,Cat,domestic mediumhair,black,Lilith,Adoption,Spayed Female,Female,Yes,1,Cat,2013,5,5,True,
3 months,A669861,Cat,domestic shorthair,brown,,Transfer,Spayed Female,Female,Yes,3,Kitten,2013,10,1,True,tabby
2 months,A681353,Cat,domestic shorthair,brown,*Lennox,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,7,True,tabby
4 weeks,A677488,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,4,Kitten,2014,3,4,True,tabby
4 months,A689633,Cat,domestic shorthair,blue,,Transfer,Unknown,Female,Yes,4,Kitten,2014,6,10,True,
2 weeks,A682930,Cat,domestic shorthair,blue/white,,Transfer,Intact Female,Female,No,2,Kitten,2014,6,7,True,
2 years,A669549,Cat,domestic shorthair,orange /white,Thomas,Adoption,Neutered Male,Male,Yes,2,Cat,2011,12,12,True,tabby
3 months,A687749,Cat,domestic shorthair,brown /white,Scout,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,6,9,True,tabby
1 year,A688239,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,1,Cat,2013,9,9,True,
1 weeks,A683949,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,1,Kitten,2014,7,7,True,
4 months,A681347,Cat,domestic shorthair,brown /white,Khaleesi,Adoption,Spayed Female,Female,Yes,4,Kitten,2014,3,8,True,tabby
2 months,A664972,Cat,siamese,lynx,*James,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,9,11,False,point
3 weeks,A688980,Cat,domestic longhair,/black,,Transfer,Intact Female,Female,No,3,Kitten,2014,9,9,True,calico
5 years,A663841,Cat,domestic shorthair,,Devereaux,Adoption,Spayed Female,Female,Yes,5,Cat,2008,9,10,True,calico
3 days,A677559,Cat,domestic shorthair,blue,,Transfer,Unknown,Female,Yes,3,Kitten,2014,4,4,True,tabby
3 months,A693218,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2014,9,12,True,tabby
2 months,A691279,Cat,domestic shorthair,black,*Rosemary,Transfer,Intact Female,Female,No,2,Kitten,2014,9,12,True,
3 months,A667866,Cat,domestic shorthair,brown,*Willie,Transfer,Neutered Male,Male,Yes,3,Kitten,2013,8,12,True,tabby
1 month,A669135,Cat,domestic shorthair,,*Holly,Transfer,Intact Female,Female,No,1,Kitten,2013,10,12,True,tortie
1 year,A672867,Cat,domestic shorthair,orange,*Soze,Adoption,Neutered Male,Male,Yes,1,Cat,2012,11,3,True,tabby
2 years,A671859,Cat,domestic shorthair,,,Died,Intact Female,Female,No,2,Cat,2012,1,2,True,calico
5 years,A671819,Cat,domestic shorthair,orange,Karma,Return to Owner,Spayed Female,Female,Yes,5,Cat,2009,1,1,True,tabby
1 year,A673605,Cat,domestic shorthair,blue,,Transfer,Intact Female,Female,No,1,Cat,2012,8,3,True,tabby
3 months,A688468,Cat,domestic shorthair,orange /white,*Rob,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,8,11,True,tabby
3 years,A675286,Cat,domestic shorthair,,*Zinnia,Adoption,Spayed Female,Female,Yes,3,Cat,2011,3,4,True,tortie
3 years,A686394,Cat,manx,black,*Ava,Transfer,Spayed Female,Female,Yes,3,Cat,2011,8,9,False,
5 years,A689108,Cat,himalayan,flame,Andromeda,Adoption,Spayed Female,Female,Yes,5,Cat,2009,9,10,True,point
4 days,A679441,Cat,domestic shorthair,cream /white,,Transfer,Intact Male,Male,No,4,Kitten,2014,5,5,True,tabby
1 year,A692755,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,1,Cat,2013,11,11,True,tabby
3 weeks,A683038,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2014,6,7,True,tabby
12 years,A689675,Cat,domestic shorthair,/white,*Fern,Transfer,Spayed Female,Female,Yes,12,Cat,2002,10,10,True,torbie
1 month,A680411,Cat,snowshoe,seal,Elliott,Adoption,Intact Male,Male,No,1,Kitten,2014,4,6,True,point
7 months,A688156,Cat,domestic mediumhair,brown,,Transfer,Neutered Male,Male,Yes,7,Cat,2014,2,9,True,tabby
3 weeks,A680167,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,3,Kitten,2014,5,5,True,
11 years,A674317,Cat,himalayan,seal,Carrott,Return to Owner,Neutered Male,Male,Yes,11,Cat,2003,3,3,True,point
3 years,A686601,Cat,angora,,Gypsy,Adoption,Spayed Female,Female,Yes,3,Cat,2011,8,9,True,calico
1 year,A683334,Cat,domestic shorthair,,*Pudding,Transfer,Intact Female,Female,No,1,Cat,2013,7,7,True,torbie
5 months,A691978,Cat,domestic shorthair,brown,Tobby,Transfer,Neutered Male,Male,Yes,5,Kitten,2014,6,12,True,tabby
2 months,A664186,Cat,domestic shorthair,brown,*Dolly,Adoption,Spayed Female,Female,Yes,2,Kitten,2013,8,11,True,tabby
2 years,A693061,Cat,domestic shorthair,,Jasper,Transfer,Spayed Female,Female,Yes,2,Cat,2012,12,12,True,calico
2 months,A679948,Cat,domestic shorthair,,Lulu,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,7,True,tortie
3 years,A666933,Cat,domestic shorthair,brown,Tiger Lilly,Transfer,Spayed Female,Female,Yes,3,Cat,2010,11,11,True,tabby
4 weeks,A678027,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,4,Kitten,2014,4,5,True,tabby
3 days,A690539,Cat,siamese,lilac,,Transfer,Intact Female,Female,No,3,Kitten,2014,10,10,False,point
6 months,A690000,Cat,domestic shorthair,blue,Velvet,Adoption,Spayed Female,Female,Yes,6,Cat,2014,4,10,True,
1 year,A688566,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,1,Cat,2013,9,9,True,
1 month,A684768,Cat,domestic shorthair,brown,*Vincent,Transfer,Intact Male,Male,No,1,Kitten,2014,6,8,True,tabby
6 years,A661049,Cat,maine coon,brown /white,Kitten,Adoption,Spayed Female,Female,Yes,6,Cat,2007,8,1,False,tabby
1 year,A686321,Cat,domestic shorthair,black/white,,Transfer,Intact Female,Female,No,1,Cat,2013,8,8,True,
3 weeks,A668480,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,3,Kitten,2013,11,12,True,calico
6 months,A666167,Cat,domestic shorthair,orange /white,Star,Adoption,Spayed Female,Female,Yes,6,Cat,2013,5,12,True,tabby
3 months,A678084,Cat,domestic shorthair,orange /white,*Oakley,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,4,7,True,tabby
2 years,A690272,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,2,Cat,2012,10,10,True,
1 month,A680529,Cat,domestic shorthair,orange,,Euthanasia,Intact Male,Male,No,1,Kitten,2014,4,6,True,tabby
3 weeks,A680925,Cat,domestic shorthair,blue /white,,Transfer,Intact Male,Male,No,3,Kitten,2014,5,6,True,tabby
7 years,A591058,Cat,persian,black/white,Rufus,Adoption,Neutered Male,Male,Yes,7,Cat,2006,1,11,False,
13 years,A672344,Cat,domestic shorthair,brown,Trevor,Transfer,Neutered Male,Male,Yes,13,Cat,2001,2,3,True,tabby
7 years,A666560,Cat,tonkinese,lynx,Sammy Pants,Return to Owner,Neutered Male,Male,Yes,7,Cat,2006,11,11,False,point
1 year,A667713,Cat,domestic shorthair,,Zoey,Adoption,Spayed Female,Female,Yes,1,Cat,2012,3,12,True,calico
5 years,A668197,Cat,domestic shorthair,orange,Garfield,Return to Owner,Neutered Male,Male,Yes,5,Cat,2008,11,12,True,tabby
3 months,A676870,Cat,domestic mediumhair,orange /white,*Spike,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,3,6,True,tabby
4 years,A678986,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,4,Cat,2009,11,5,True,tortie
3 weeks,A678965,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,3,Kitten,2014,4,5,True,calico
4 months,A663453,Cat,domestic shorthair,white/black,Cricket,Adoption,Spayed Female,Female,Yes,4,Kitten,2013,8,1,True,
6 months,A667015,Cat,domestic shorthair,brown /white,Finn,Adoption,Neutered Male,Male,Yes,6,Cat,2013,9,4,True,tabby
2 months,A680292,Cat,domestic shorthair,black/white,Tesla,Adoption,Intact Male,Male,No,2,Kitten,2014,4,7,True,
6 months,A665201,Cat,domestic shorthair,orange /white,,Transfer,Intact Male,Male,No,6,Cat,2013,4,10,True,tabby
1 year,A665467,Cat,domestic shorthair,white/blue,,Transfer,Intact Female,Female,No,1,Cat,2012,9,10,True,
2 months,A690381,Cat,domestic shorthair,brown,Coco,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,8,10,True,tabby
5 months,A679622,Cat,domestic shorthair,/black,,Transfer,Intact Female,Female,No,5,Kitten,2013,11,5,True,tortie
3 months,A682833,Cat,siamese,lilac,Nala,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,6,9,False,point
2 months,A665401,Cat,domestic shorthair,blue /white,*Bam Bam,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,8,11,True,tabby
9 years,A680832,Cat,domestic longhair,white/black,Katy,Transfer,Spayed Female,Female,Yes,9,Cat,2005,6,6,True,
2 years,A662195,Cat,domestic shorthair,brown /white,*Ruby Q,Transfer,Spayed Female,Female,Yes,2,Cat,2011,8,10,True,tabby
1 week,A676437,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,1,Kitten,2014,4,4,True,tabby
1 year,A629776,Cat,domestic shorthair,cream,Piaf,Adoption,Spayed Female,Female,Yes,1,Cat,2012,4,1,True,tabby
2 months,A681352,Cat,domestic shorthair,blue,*Charlotte,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,7,True,tabby
2 months,A691961,Cat,siamese,blue /white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,9,11,False,point
1 year,A683235,Cat,domestic shorthair,cream,X,Transfer,Neutered Male,Male,Yes,1,Cat,2013,7,7,True,tabby
3 months,A685056,Cat,domestic shorthair,,Brownie,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,4,8,True,calico
1 year,A675468,Cat,domestic shorthair,white,,Died,Unknown,Female,Yes,1,Cat,2013,3,3,True,
4 weeks,A687339,Cat,domestic shorthair,silver /white,,Transfer,Intact Male,Male,No,4,Kitten,2014,8,9,True,tabby
2 weeks,A664586,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,2,Kitten,2013,9,10,True,tabby
2 months,A688305,Cat,domestic shorthair,/white,*Jane,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,8,10,True,torbie
8 months,A664947,Cat,domestic shorthair,cream /white,Mei Mei,Adoption,Spayed Female,Female,Yes,8,Cat,2013,2,10,True,tabby
6 months,A658349,Cat,domestic shorthair,brown /white,*Toby,Adoption,Neutered Male,Male,Yes,6,Cat,2013,6,12,True,tabby
1 year,A683269,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,1,Cat,2013,7,7,True,calico
2 months,A680555,Cat,domestic shorthair,blue/white,Achilles,Adoption,Intact Male,Male,No,2,Kitten,2014,4,6,True,
1 year,A693236,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,1,Cat,2013,12,12,True,tabby
2 weeks,A690736,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,2,Kitten,2014,10,10,True,
1 week,A680922,Cat,domestic shorthair,brown,,Transfer,Unknown,Female,Yes,1,Kitten,2014,6,6,True,tabby
3 months,A678825,Cat,domestic shorthair,orange /white,Oliver,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,4,7,True,tabby
1 month,A679933,Cat,siamese,blue,Watson,Adoption,Neutered Male,Male,Yes,1,Kitten,2014,4,6,False,point
2 weeks,A678020,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,2,Kitten,2014,4,5,True,tabby
1 year,A693024,Cat,domestic shorthair,orange /white,,Transfer,Intact Male,Male,No,1,Cat,2013,11,12,True,tabby
1 month,A686462,Cat,domestic mediumhair,black,Jasper,Adoption,Neutered Male,Male,Yes,1,Kitten,2014,7,9,True,smoke
1 weeks,A684279,Cat,manx,black/white,,Transfer,Intact Male,Male,No,1,Kitten,2014,7,7,False,
1 year,A658797,Cat,domestic shorthair,blue/white,*Allie,Adoption,Spayed Female,Female,Yes,1,Cat,2012,1,10,True,
1 year,A684566,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,1,Cat,2013,7,7,True,tabby
3 weeks,A679262,Cat,domestic shorthair,orange /white,,Transfer,Intact Male,Male,No,3,Kitten,2014,4,5,True,tabby
4 months,A667826,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,4,Kitten,2013,7,11,True,tabby
3 days,A677622,Cat,domestic shorthair,black/white,,Transfer,Unknown,Female,Yes,3,Kitten,2014,4,4,True,
5 years,A563400,Cat,domestic shorthair,orange,Heater,Return to Owner,Neutered Male,Male,Yes,5,Cat,2008,9,2,True,tabby
3 weeks,A689837,Cat,domestic mediumhair,brown /white,,Transfer,Intact Female,Female,No,3,Kitten,2014,9,10,True,tabby
5 years,A668190,Cat,domestic shorthair,blue,*Anatoly,Transfer,Neutered Male,Male,Yes,5,Cat,2008,11,1,True,
2 months,A683066,Cat,domestic shorthair,orange /white,*Archie,Died,Neutered Male,Male,Yes,2,Kitten,2014,6,8,True,tabby
3 weeks,A665127,Cat,domestic mediumhair,orange,,Transfer,Intact Female,Female,No,3,Kitten,2013,9,10,True,tabby
3 weeks,A679332,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,3,Kitten,2014,4,5,True,
4 weeks,A670326,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,4,Kitten,2013,12,1,True,
8 years,A681122,Cat,domestic shorthair,black,Millie,Return to Owner,Spayed Female,Female,Yes,8,Cat,2006,6,6,True,
12 years,A668981,Cat,domestic shorthair,orange,Rudolph,Euthanasia,Intact Male,Male,No,12,Cat,2001,12,12,True,tabby
2 months,A666818,Cat,siamese/domestic shorthair,black,*Carter,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,9,12,True,
0 years,A686909,Cat,domestic shorthair,white/brown,,Transfer,Unknown,Female,Yes,0,Kitten,2014,8,8,True,tabby
10 years,A684445,Cat,domestic shorthair,black,*Meechum,Adoption,Neutered Male,Male,Yes,10,Cat,2004,7,11,True,
11 months,A685074,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,11,Cat,2013,9,8,True,calico
2 weeks,A664835,Cat,siamese,lynx,,Transfer,Intact Male,Male,No,2,Kitten,2013,9,10,False,point
2 months,A687492,Cat,domestic shorthair,brown /white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,6,9,True,tabby
3 weeks,A690669,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,3,Kitten,2014,10,10,True,
2 years,A676767,Cat,domestic shorthair,,Sofia,Adoption,Spayed Female,Female,Yes,2,Cat,2012,4,6,True,calico
2 years,A669060,Cat,domestic shorthair,brown,,Transfer,Neutered Male,Male,Yes,2,Cat,2011,12,12,True,tabby
3 weeks,A678466,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,3,Kitten,2014,4,5,True,tabby
2 years,A682871,Cat,domestic shorthair,cream /white,,Transfer,Intact Female,Female,No,2,Cat,2012,7,7,True,tabby
1 month,A684183,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,1,Kitten,2014,5,7,True,tortie
1 month,A684731,Cat,domestic shorthair,blue,*Benny,Euthanasia,Intact Male,Male,No,1,Kitten,2014,6,8,True,tabby
3 months,A685894,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,3,Kitten,2014,5,8,True,
10 months,A682745,Cat,domestic shorthair,,Bunny,Transfer,Intact Female,Female,No,10,Cat,2013,9,7,True,torbie
2 months,A687757,Cat,domestic shorthair,,Jersey,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,7,9,True,tortie
2 months,A663925,Cat,domestic mediumhair,,Patches,Transfer,Intact Female,Female,No,2,Kitten,2013,7,10,True,calico
3 weeks,A679450,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,3,Kitten,2014,4,5,True,tabby
2 weeks,A679500,Cat,domestic shorthair,brown /white,,Transfer,Intact Male,Male,No,2,Kitten,2014,5,5,True,tabby
1 month,A684580,Cat,siamese,,*Hera,Adoption,Spayed Female,Female,Yes,1,Kitten,2014,6,8,False,tortie
2 months,A690537,Cat,domestic shorthair,,*Eloise,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,9,11,True,tortie
10 months,A690796,Cat,domestic shorthair,white,,Transfer,Intact Male,Male,No,10,Cat,2013,12,10,True,
2 months,A681977,Cat,domestic shorthair,black/white,,Transfer,Neutered Male,Male,Yes,2,Kitten,2014,4,6,True,
4 weeks,A677468,Cat,domestic shorthair,brown,*Cinnamon,Transfer,Intact Female,Female,No,4,Kitten,2014,3,4,True,tabby
8 years,A681983,Cat,domestic shorthair,blue,,Transfer,Spayed Female,Female,Yes,8,Cat,2006,6,6,True,
1 month,A678632,Cat,domestic shorthair,brown /white,*Bernard,Transfer,Intact Male,Male,No,1,Kitten,2014,3,5,True,tabby
5 months,A686671,Cat,domestic mediumhair,blue /white,Francois,Adoption,Neutered Male,Male,Yes,5,Kitten,2014,3,9,True,tabby
2 years,A684589,Cat,snowshoe,seal /white,Rascal,Adoption,Neutered Male,Male,Yes,2,Cat,2012,7,7,True,point
2 years,A686615,Cat,domestic shorthair,blue,Sheba,Adoption,Spayed Female,Female,Yes,2,Cat,2012,8,8,True,tabby
6 months,A667021,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,6,Cat,2013,5,11,True,tabby
2 months,A688655,Cat,domestic shorthair,,*Anne,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,8,11,True,calico
2 years,A693568,Cat,domestic shorthair,brown,Princess,Return to Owner,Spayed Female,Female,Yes,2,Cat,2012,12,12,True,tabby
1 weeks,A683747,Cat,domestic shorthair,brown,,Transfer,Unknown,Female,Yes,1,Kitten,2014,7,7,True,tabby
3 months,A669114,Cat,domestic shorthair,orange,*Joe,Transfer,Neutered Male,Male,Yes,3,Kitten,2013,9,12,True,tabby
2 weeks,A684386,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,2,Kitten,2014,7,7,True,
5 years,A683218,Cat,domestic shorthair,brown /white,X,Transfer,Neutered Male,Male,Yes,5,Cat,2009,7,7,True,tabby
6 months,A687852,Cat,domestic shorthair,blue,Gavin,Return to Owner,Neutered Male,Male,Yes,6,Cat,2014,3,9,True,
1 month,A685277,Cat,domestic shorthair,blue /white,*Cashew,Transfer,Intact Female,Female,No,1,Kitten,2014,7,8,True,tabby
2 years,A679130,Cat,domestic shorthair,blue/white,,Transfer,Spayed Female,Female,Yes,2,Cat,2012,5,5,True,
2 months,A678120,Cat,domestic mediumhair,black /white,*Mica,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,6,True,tabby
2 months,A690025,Cat,domestic shorthair,blue/white,*Ethel,Transfer,Intact Female,Female,No,2,Kitten,2014,8,10,True,
1 month,A686954,Cat,domestic shorthair,brown,*Zoey,Transfer,Intact Female,Female,No,1,Kitten,2014,7,9,True,tabby
1 month,A668297,Cat,domestic shorthair,blue,Thor,Adoption,Intact Male,Male,No,1,Kitten,2013,11,12,True,
2 weeks,A664831,Cat,domestic shorthair,blue,,Transfer,Intact Female,Female,No,2,Kitten,2013,9,10,True,
4 years,A668610,Cat,ragdoll,seal,Jinxy,Transfer,Spayed Female,Female,Yes,4,Cat,2009,12,12,False,point
1 year,A670463,Cat,domestic shorthair,brown,*Ricki,Return to Owner,Neutered Male,Male,Yes,1,Cat,2013,1,1,True,tabby
3 months,A667157,Cat,domestic mediumhair,cream /white,Jason,Adoption,Neutered Male,Male,Yes,3,Kitten,2013,8,11,True,tabby
6 months,A664002,Cat,domestic shorthair,,*Friskey,Adoption,Spayed Female,Female,Yes,6,Cat,2013,3,10,True,tortie
1 day,A674943,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,1,Kitten,2014,3,3,True,torbie
4 months,A688500,Cat,domestic mediumhair,black,*Holmes,Transfer,Neutered Male,Male,Yes,4,Kitten,2014,8,12,True,
2 months,A679585,Cat,domestic shorthair,black,*Olivia,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,7,True,
7 months,A691360,Cat,domestic shorthair,brown,*Tanya,Transfer,Spayed Female,Female,Yes,7,Cat,2014,4,11,True,tabby
8 months,A672332,Cat,domestic shorthair,black,*Mickey,Adoption,Neutered Male,Male,Yes,8,Cat,2013,6,2,True,
1 year,A683031,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,1,Cat,2013,7,7,True,tabby
5 years,A669394,Cat,domestic shorthair,brown,Cha Cha,Adoption,Neutered Male,Male,Yes,5,Cat,2008,12,1,True,tabby
1 year,A682800,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,1,Cat,2013,7,7,True,tabby
5 years,A686537,Cat,domestic longhair,black,Soko,Transfer,Spayed Female,Female,Yes,5,Cat,2009,8,9,True,
2 months,A667354,Cat,domestic shorthair,orange /white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,9,11,True,tabby
2 weeks,A664387,Cat,domestic shorthair,blue,,Transfer,Intact Female,Female,No,2,Kitten,2013,9,10,True,tabby
8 months,A676547,Cat,domestic shorthair,brown /white,Aberdeen,Return to Owner,Intact Female,Female,No,8,Cat,2013,8,4,True,tabby
2 weeks,A677938,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,2,Kitten,2014,4,5,True,tabby
7 months,A678199,Cat,domestic longhair,black,Bean,Transfer,Neutered Male,Male,Yes,7,Cat,2013,11,6,True,
1 year,A693071,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,1,Cat,2013,12,12,True,torbie
2 months,A677793,Cat,domestic shorthair,black,*Orlith,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,7,True,
2 months,A667024,Cat,domestic shorthair,,Inie,Transfer,Intact Female,Female,No,2,Kitten,2013,9,11,True,tortie
1 year,A647165,Cat,siamese,seal,Angel,Adoption,Spayed Female,Female,Yes,1,Cat,2012,4,10,False,point
1 year,A688548,Cat,domestic mediumhair,,,Transfer,Intact Female,Female,No,1,Cat,2013,9,9,True,calico
3 months,A682173,Cat,domestic shorthair,blue,,Return to Owner,Spayed Female,Female,Yes,3,Kitten,2014,3,6,True,
13 years,A670744,Cat,domestic longhair,black,*Bianca,Transfer,Spayed Female,Female,Yes,13,Cat,2001,1,1,True,
1 year,A693216,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,1,Cat,2013,12,12,True,tabby
2 months,A690725,Cat,domestic longhair,white/black,Princess,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,9,11,True,
10 months,A669601,Cat,domestic shorthair,blue,*Ash,Adoption,Neutered Male,Male,Yes,10,Cat,2013,2,1,True,
6 months,A692546,Cat,domestic shorthair,brown /white,,Transfer,Intact Male,Male,No,6,Cat,2014,5,11,True,tabby
4 months,A660052,Cat,domestic shorthair,black,,Adoption,Spayed Female,Female,Yes,4,Kitten,2013,7,11,True,
1 month,A680069,Cat,domestic shorthair,black,*Peach,Transfer,Intact Female,Female,No,1,Kitten,2014,4,6,True,
4 months,A685057,Cat,domestic shorthair,blue/white,Puddin,Adoption,Neutered Male,Male,Yes,4,Kitten,2014,4,9,True,
2 months,A664185,Cat,domestic shorthair,black,Sparky,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,8,10,True,
2 years,A691674,Cat,domestic shorthair,black/white,*Ernie,Transfer,Intact Male,Male,No,2,Cat,2012,11,11,True,
3 weeks,A688622,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,3,Kitten,2014,8,9,True,
